title, weekend_rev, weekend_rev_mean
Shooting Fish,56240,2445
Fallen Angels,13804,13804
Spice World,10527222,4501
Deep Rising,4737793,2695
Blues Brothers 2000,6129615,2445
Ride,2513334,5067
Sphere,14433957,5129
Palmetto,2876753,1911
As Good as It Gets,12606928,8020
King of New York,411597,3579
Twilight,5866411,4342
Welcome to Woop Woop,19812,3962
Love and Death on Long Island,78151,13025
Hush,5742431,2921
Suicide Kings,558081,4134
Wild Things,9622444,4420
Paulie,5369800,3458
Fireworks,59508,6612
Primary Colors,12045395,6130
Wide Awake,95875,3306
Eden,18987,6329
Two Girls and a Guy,649423,2055
No Looking Back,44003,6286
Storefront Hitchcock,1803,1803
Meet the Deedles,2006751,1138
Homegrown,77910,2226
Chinese Box,97916,8160
Lost in Space,20154919,6096
Mercury Rising,10104715,4235
City of Angels,15369048,6948
My Giant,3117795,1601
He Got Game,7610663,5770
Slappy and the Stinkers,34488,575
Zero Effect,434840,4348
Nil by Mouth,28367,14184
Kissing a Fool,2308145,1325
Character,37268,6211
Sour Grapes,123104,4397
Wild Man Blues,54458,18153
Tarzan and the Lost City,1110564,787
Black Dog,4809375,2375
Go Now,3657,3657
Still Breathing,86659,1293
Clockwatchers,34838,5806
Deep Impact,41152375,13039
Little Men,77924,702
Woo,2517263,4028
Lawn Dogs,22491,1874
Quest for Camelot,6041602,1945
Godzilla,44047541,13307
Bulworth,141816,70908
Fear and Loathing in Las Vegas,3338590,2965
Almost Heroes,2837928,1386
Hope Floats,14210464,6004
Insomnia,20930169,8019
Beyond Silence,14015,3504
Six Days Seven Nights,16485276,6465
Cousin Bette,76488,5884
High Art,47499,11875
Children of Heaven,20100,6700
Dear Jesse,1508,1508
Dream for an Insomniac,6201,1034
Hav Plenty,1102036,2668
Henry Fool,40939,20470
Mulan,22745143,7876
Out of Sight,12020435,5707
Smoke Signals,43574,8714
Armageddon,36089972,11541
Lethal Weapon 4,34048124,10923
Madeline,6414668,3443
Small Soldiers,14047592,5532
Pi,31069,31069
Ordinary People,170335,28389
Chariots of Fire,68907,22969
Terms of Endearment,3498813,13456
Out of Africa,3637290,3945
Rain Man,7005719,5613
Driving Miss Daisy,73745,24581
Repo Man,95300,2443
Metropolitan,46663,46663
Labyrinth,3549243,3110
Poltergeist,6896612,7749
Lethal Weapon,6829949,5437
Lethal Weapon 2,20388800,11308
Lethal Weapon 3,33243086,13244
Gremlins,12511634,8280
Polish Wedding,92055,8368
Metropolis,84660,9406
Dangerous Liaisons,84451,28150
Dune,6025091,6584
Disturbing Behavior,7007714,3804
Saving Private Ryan,30576104,12414
Blank Check,5411897,3187
Cheetah,2636118,2012
Flight of the Navigator,3115097,3272
Hocus Pocus,8125471,5682
Honey I Blew Up the Kid,11083318,4795
BASEketball,3086105,1620
Full Tilt Boogie,9895,1649
Out of the Past,1671,1671
Tender Mercies,46977,15659
Fandango,50437,1868
Blue Velvet,789409,8055
Newsies,1232508,1007
One Magic Christmas,2662241,3230
Popeye,6310520,7004
Return to Oz,2844895,2297
Something Wicked This Way Comes,2423555,2966
Splash,6174059,7447
Tall Tale,3046181,1475
Tron,4761795,4364
Swing Kids,1967957,3630
Grand Canyon,67546,33773
Graveyard Shift,5082300,3170
Indiana Jones and the Temple of Doom,25337110,15019
Maximum Overdrive,3205644,2675
Needful Things,5202478,2650
Cujo,6114899,4935
Children of the Corn,2042821,5836
All Dogs Go to Heaven,4712834,2988
Snake Eyes,16310373,6011
Safe Men,21210,1060
Adventures in Babysitting,2901297,2576
Weird Science,4895421,4227
Legend,4261154,3589
Sixteen Candles,4461520,3598
Pretty in Pink,6065870,7334
House,5923972,4113
How Stella Got Her Groove Back,11318919,8113
Slums of Beverly Hills,125561,17937
Return to Paradise,2465129,2554
Blade,17073856,7353
Dance with Me,4507663,3073
Dead Man on Campus,4704688,2618
Wrongfully Accused,3504630,1700
Next Stop Wonderland,123055,15382
All I Wanna Do,3799,3799
Beetlejuice,8030897,8030
54,6611532,3556
Why Do Fools Fall In Love,3946382,2882
Willow,8300169,8105
Dirty Work,3634236,2046
Knock Off,5516231,3064
Firelight,135401,13540
Phoenix,31579,10526
Secret Agent,25909,4318
Easy Virtue,110443,11044
Rounders,8459126,3887
Cube,57147,3571
Digging to China,19162,1916
Simon Birch,3321370,5572
Without Limits,56180,11236
Swept Away,354052,1806
My Bodyguard,178641,4580
Class,4553233,5426
Broadcast News,197542,28220
Working Girl,4718485,4489
Married to the Mob,3231056,3921
My Blue Heaven,6207092,3338
Hero,5210875,2853
Toys,4810027,3781
Young Doctors in Love,4206265,5932
No Small Affair,2273469,1823
Blame It on Rio,3437660,2862
Wisdom,1994197,2530
One Crazy Summer,3433952,3489
Nothing but Trouble,3966240,2373
Mortal Thoughts,6068524,6301
Indecent Proposal,18387632,10854
Permanent Midnight,260562,4737
One True Thing,6606455,4155
Rush Hour,33001803,12510
Ronin,12697641,5105
Urban Legend,10515444,4659
Clay Pigeons,167364,8808
Pecker,541646,2943
Bandit Queen,34728,5788
Stardust Memories,326779,11268
Edward Scissorhands,159622,79811
Antz,17195160,7021
What Dreams May Come,15833592,6268
Strangeland,373288,1185
My Cousin Vinny,7416751,6044
Holy Man,5106919,2536
One Tough Cop,651350,1569
Detroit 9000,2054,1027
2010,7393361,6566
Children of a Lesser God,1909084,8879
Beloved,8165551,5440
Bride of Chucky,11830855,4904
Practical Magic,13104694,4941
Happiness,130303,21717
Reach The Rock,3317,1106
Apt Pupil,3583151,2474
Pleasantville,8855063,5412
Soldier,6447237,2571
Life Is Beautiful,118920,19820
Orgazmo,210073,2234
Shattered Image,31859,1327
Vampires,9106497,5078
American History X,156076,9180
Living Out Loud,169747,21218
Belly,3454776,5757
Gods and Monsters,75508,12584
Velvet Goldmine,301787,3550
I Still Know What You Did Last Summer,16520038,6762
Meet Joe Black,15017995,5999
Dancing at Lughnasa,83759,20939
Hard Core Logo,3864,1932
Runaway Train,2601480,2695
Desert Bloom,22797,11398
Mona Lisa,99361,24840
Heart Condition,2149786,2429
Enemy of the State,20038573,8373
Celebrity,1588013,3221
Central Station,35708,17854
Savior,3898,1949
Godzilla,44047541,13307
Godzilla 1985,509502,2168
King Kong Lives,1172942,1061
Desperately Seeking Susan,1526098,5694
Fletch,7022970,5733
Fletch Lives,8045760,5440
Red Sonja,2263553,2074
Gung Ho,7170830,6235
Lifeforce,4209136,2758
Police Academy,8570007,8062
Home Fries,3784023,1965
Ringmaster,3344022,2548
Very Bad Things,3245853,2576
Little Voice,93722,15620
Jack Frost,7104125,3301
Rushmore,43666,21833
Shakespeare in Love,224012,28001
Miracle on 34th Street,2753208,2314
Prancer,2914486,1701
Pale Rider,9119111,5332
First Blood,6642005,7371
Romancing the Stone,5105741,6203
Cocoon,7936427,6961
Clue,2014166,2002
Young Sherlock Holmes,2538234,2758
Violets Are Blue,256581,11662
Back to School,8881035,5533
Heartburn,5783079,6860
Nothing in Common,3279650,5306
Extremities,2429075,4015
Mighty Joe Young,10602042,4237
Mighty Joe Young,10602042,4237
Patch Adams,25262280,9315
Stepmom,19142440,8118
Down in the Delta,1080775,2598
Hurlyburly,164826,10301
Tea with Mussolini,1633183,6048
Wilde,69424,9918
Affliction,63979,21326
Another Day in Paradise,14900,4966
Hilary and Jackie,92956,15492
Playing by Heart,26669,26669
At First Sight,8444321,4655
In Dreams,3992449,2390
Varsity Blues,15204148,7168
